representation,corpus,accuracy,units,rows,majority,pooled,macro
autopsy_mix,chicago,0.4234,56,1502,0.037283621837549935,0.4176,0.3642
autopsy_mix,cms,0.2616,53,1426,0.03716690042075736,0.4176,0.3642
autopsy_mix,ct,0.4664,331,8902,0.037182655583015055,0.4176,0.3642
autopsy_mix,dc_pass,0.4561,255,6875,0.03709090909090909,0.4176,0.3642
autopsy_mix,dc_pcard,0.4536,165,4455,0.037037037037037035,0.4176,0.3642
autopsy_mix,epa,0.223,49,1323,0.037037037037037035,0.4176,0.3642
autopsy_mix,fec,0.1796,138,3691,0.03738824166892441,0.4176,0.3642
autopsy_mix,louisville,0.4922,83,2241,0.037037037037037035,0.4176,0.3642
autopsy_mix,md,0.3392,19,513,0.037037037037037035,0.4176,0.3642
autopsy_mix,nyc,0.4216,793,21246,0.03732467287960087,0.4176,0.3642
autopsy_mix,sf,0.4407,477,12879,0.037037037037037035,0.4176,0.3642
autopsy_mix,tlc,0.213,4,108,0.037037037037037035,0.4176,0.3642
structural,chicago,0.4234,56,1502,0.037283621837549935,0.3796,0.3404
structural,cms,0.2875,53,1426,0.03716690042075736,0.3796,0.3404
structural,ct,0.4171,331,8902,0.037182655583015055,0.3796,0.3404
structural,dc_pass,0.4112,255,6875,0.03709090909090909,0.3796,0.3404
structural,dc_pcard,0.3991,165,4455,0.037037037037037035,0.3796,0.3404
structural,epa,0.1905,49,1323,0.037037037037037035,0.3796,0.3404
structural,fec,0.1696,138,3691,0.03738824166892441,0.3796,0.3404
structural,louisville,0.4275,83,2241,0.037037037037037035,0.3796,0.3404
structural,md,0.3041,19,513,0.037037037037037035,0.3796,0.3404
structural,nyc,0.3854,793,21246,0.03732467287960087,0.3796,0.3404
structural,sf,0.401,477,12879,0.037037037037037035,0.3796,0.3404
structural,tlc,0.2685,4,108,0.037037037037037035,0.3796,0.3404
