experiment,representation,arm,model,n_classes,n_instances,accuracy,ci_lo,ci_hi,I_bits,chance
CW-15,autopsy_mix,all_27_baseline,logistic,27,32400,0.6954938271604938,0.690462962962963,0.7000925925925926,3.542898643193622,0.037037037037037035
CW-15,autopsy_mix,all_27_baseline,random_forest,27,32400,0.7696296296296297,0.7651234567901235,0.7737962962962963,3.6422966277900075,0.037037037037037035
CW-15,structural,all_27_baseline,logistic,27,32400,0.6855246913580247,0.680400462962963,0.6903703703703704,3.469216545282033,0.037037037037037035
CW-15,structural,all_27_baseline,random_forest,27,32400,0.8064814814814815,0.8028387345679012,0.8102160493827161,3.857526011498549,0.037037037037037035
CW-15,autopsy_mix,learned_22,logistic,22,26400,0.6715151515151515,0.6663257575757576,0.6763276515151515,3.2158435250398614,0.045454545454545456
CW-15,autopsy_mix,learned_22,random_forest,22,26400,0.7522727272727273,0.7473106060606061,0.7569318181818182,3.349555398472835,0.045454545454545456
CW-15,structural,learned_22,logistic,22,26400,0.6804166666666667,0.6750757575757576,0.6857954545454545,3.195630560085526,0.045454545454545456
CW-15,structural,learned_22,random_forest,22,26400,0.7995075757575758,0.795529356060606,0.8034469696969697,3.626397180794945,0.045454545454545456
CW-15,autopsy_mix,no_rule_no_ensemble,logistic,22,26400,0.6715151515151515,0.6663257575757576,0.6763276515151515,3.2158435250398614,0.045454545454545456
CW-15,autopsy_mix,no_rule_no_ensemble,random_forest,22,26400,0.7522727272727273,0.7473106060606061,0.7569318181818182,3.349555398472835,0.045454545454545456
CW-15,structural,no_rule_no_ensemble,logistic,22,26400,0.6804166666666667,0.6750757575757576,0.6857954545454545,3.195630560085526,0.045454545454545456
CW-15,structural,no_rule_no_ensemble,random_forest,22,26400,0.7995075757575758,0.795529356060606,0.8034469696969697,3.626397180794945,0.045454545454545456
CW-15,autopsy_mix,family_balanced_2each,logistic,12,14400,0.7851388888888889,0.7786788194444445,0.7912517361111111,2.7236337565963527,0.08333333333333333
CW-15,autopsy_mix,family_balanced_2each,random_forest,12,14400,0.8518055555555556,0.8464565972222222,0.8570833333333333,2.86816020206979,0.08333333333333333
CW-15,structural,family_balanced_2each,logistic,12,14400,0.7786805555555556,0.7721510416666667,0.7852777777777777,2.7338214419539177,0.08333333333333333
CW-15,structural,family_balanced_2each,random_forest,12,14400,0.8672222222222222,0.8623611111111111,0.871876736111111,3.032082199431362,0.08333333333333333
CW-15,autopsy_mix,one_per_family_6,logistic,6,7200,0.8755555555555555,0.8670833333333333,0.88375,2.0662606633737157,0.16666666666666666
CW-15,autopsy_mix,one_per_family_6,random_forest,6,7200,0.9186111111111112,0.9119444444444444,0.9250034722222222,2.14902952201113,0.16666666666666666
CW-15,structural,one_per_family_6,logistic,6,7200,0.9025,0.8948576388888889,0.9101388888888889,2.192333758723743,0.16666666666666666
CW-15,structural,one_per_family_6,random_forest,6,7200,0.9470833333333334,0.9416666666666667,0.9525,2.3147144654851974,0.16666666666666666
CW-15,autopsy_mix,iforest_pruned_to_3,logistic,23,27600,0.736268115942029,0.7309773550724638,0.7410878623188406,3.4802753004764684,0.043478260869565216
CW-15,autopsy_mix,iforest_pruned_to_3,random_forest,23,27600,0.8153985507246376,0.8106159420289855,0.8196748188405797,3.6028890028778426,0.043478260869565216
CW-15,structural,iforest_pruned_to_3,logistic,23,27600,0.716268115942029,0.7107961956521739,0.7215217391304348,3.3715411355362823,0.043478260869565216
CW-15,structural,iforest_pruned_to_3,random_forest,23,27600,0.8479710144927536,0.8441666666666666,0.8518115942028985,3.7918210415767333,0.043478260869565216
