section,arm,param,representation,model,accuracy,I_bits,chance
P,padding,0.0,autopsy_mix,logistic,0.6954938271604938,3.542898643193622,0.037037037037037035
P,padding,0.0,autopsy_mix,random_forest,0.7696296296296297,3.6422966277900075,0.037037037037037035
P,padding,0.0,structural,logistic,0.6855246913580247,3.469216545282033,0.037037037037037035
P,padding,0.0,structural,random_forest,0.8064814814814815,3.857526011498549,0.037037037037037035
P,padding,5.0,autopsy_mix,logistic,0.6713888888888889,3.429615274686653,0.037037037037037035
P,padding,5.0,autopsy_mix,random_forest,0.7354012345679012,3.482275943612407,0.037037037037037035
P,padding,5.0,structural,logistic,0.6479012345679013,3.3537597111944484,0.037037037037037035
P,padding,5.0,structural,random_forest,0.7319753086419754,3.6633836866459424,0.037037037037037035
P,padding,10.0,autopsy_mix,logistic,0.639537037037037,3.30603978289546,0.037037037037037035
P,padding,10.0,autopsy_mix,random_forest,0.7099382716049383,3.3421033673030185,0.037037037037037035
P,padding,10.0,structural,logistic,0.6274691358024691,3.2566606403718845,0.037037037037037035
P,padding,10.0,structural,random_forest,0.7075925925925926,3.558060347487019,0.037037037037037035
P,padding,25.0,autopsy_mix,logistic,0.5337345679012345,2.8413641903612046,0.037037037037037035
P,padding,25.0,autopsy_mix,random_forest,0.6040740740740741,2.8306224341618202,0.037037037037037035
P,padding,25.0,structural,logistic,0.5141358024691358,2.751584296193452,0.037037037037037035
P,padding,25.0,structural,random_forest,0.5970061728395062,3.088411774865349,0.037037037037037035
P,blending,0.25,autopsy_mix,logistic,0.47185185185185186,2.54123507288556,0.037037037037037035
P,blending,0.25,autopsy_mix,random_forest,0.566141975308642,2.7041634492707876,0.037037037037037035
P,blending,0.25,structural,logistic,0.43608024691358027,2.426585107345688,0.037037037037037035
P,blending,0.25,structural,random_forest,0.5651234567901234,2.9424336359626713,0.037037037037037035
P,blending,0.5,autopsy_mix,logistic,0.21518518518518517,1.152882800440596,0.037037037037037035
P,blending,0.5,autopsy_mix,random_forest,0.30700617283950615,1.6427419362061921,0.037037037037037035
P,blending,0.5,structural,logistic,0.17555555555555555,1.0380268243499562,0.037037037037037035
P,blending,0.5,structural,random_forest,0.2942901234567901,1.6814262962071123,0.037037037037037035
