a,b,A,d,mean_overlap,median_overlap
iforest__amount_only__robust,ocsvm__amount_only__robust,0.6971,0.3942,0.789,0.8182
iforest__amount_only__raw,mcd__amount_cents__robust,0.745,0.49,0.6895,0.9608
iforest__full__log,iforest__full__robust,0.4942,0.0,0.6137,0.6129
knn__full__robust,lof__full_categorical__robust,0.9912,0.9825,0.6013,0.5873
iforest__amount_only__raw,iforest__full__raw,0.995,0.99,0.5896,0.6129
knn__full__robust,knn__full_categorical__robust,0.9696,0.9392,0.5599,0.5625
lof__full__robust,lof__full_categorical__robust,0.8275,0.655,0.5092,0.5152
knn__full_categorical__robust,lof__full_categorical__robust,0.8413,0.6825,0.5035,0.4925
iforest__full__raw,mcd__amount_cents__robust,0.9583,0.9167,0.484,0.6129
iforest__amount_only__raw,iforest__amount_only__robust,0.9929,0.9858,0.4631,0.4493
mcd__amount_cents__robust,mcd__full__robust,0.8858,0.7717,0.4264,0.5152
knn__amount_only__log,ocsvm__amount_only__robust,0.9738,0.9475,0.4195,0.4085
knn__full__robust,ocsvm__full__robust,0.9904,0.9808,0.4148,0.4085
iforest__full__raw,mcd__full__robust,0.7992,0.5983,0.4117,0.5385
lof__full_categorical__robust,ocsvm__full__robust,0.9642,0.9283,0.4106,0.4085
iforest__amount_only__robust,knn__amount_only__log,0.9675,0.935,0.4097,0.3889
knn__amount_cents__robust,ocsvm__amount_cents__robust,0.9396,0.8792,0.4074,0.4085
knn__full__robust,lof__full__robust,0.9975,0.995,0.3899,0.3889
knn__full_categorical__robust,ocsvm__full__robust,0.9237,0.8475,0.3853,0.3889
iforest__amount_cents__robust,iforest__amount_only__robust,0.9975,0.995,0.3762,0.3699
iforest__amount_only__robust,iforest__full__raw,0.9971,0.9942,0.3728,0.3699
iforest__amount_only__robust,mcd__amount_cents__robust,0.9867,0.9733,0.3727,0.4085
iforest__amount_cents__robust,iforest__amount_only__raw,0.9967,0.9933,0.3661,0.3514
iforest__amount_only__raw,mcd__full__robust,0.995,0.99,0.3454,0.4286
iforest__amount_cents__robust,mcd__amount_cents__robust,0.9812,0.9625,0.342,0.3514
iforest__amount_only__raw,ocsvm__amount_only__robust,1.0,1.0,0.3374,0.3514
iforest__amount_cents__robust,iforest__full__raw,0.9879,0.9758,0.3265,0.3333
iforest__amount_cents__robust,ocsvm__amount_only__robust,0.9988,0.9975,0.3159,0.3333
iforest__amount_cents__robust,ocsvm__amount_cents__robust,0.9625,0.925,0.3064,0.2658
ocsvm__amount_cents__robust,ocsvm__amount_only__robust,1.0,1.0,0.2957,0.2821
iforest__full__raw,ocsvm__amount_only__robust,1.0,1.0,0.2933,0.3158
lof__full__robust,ocsvm__full__robust,0.9888,0.9775,0.2855,0.2821
knn__amount_only__log,ocsvm__amount_cents__robust,0.9975,0.995,0.2796,0.2658
knn__full_categorical__robust,lof__full__robust,0.9363,0.8725,0.279,0.2658
mcd__amount_cents__robust,ocsvm__amount_only__robust,1.0,1.0,0.2721,0.3333
iforest__full__log,ocsvm__full__robust,0.9667,0.9333,0.2716,0.2821
iforest__full__robust,ocsvm__full__robust,0.9671,0.9342,0.2703,0.2658
iforest__full__log,iforest__full__raw,0.9533,0.9067,0.2666,0.2122
iforest__full__raw,iforest__full__robust,0.9487,0.8975,0.2659,0.2195
iforest__amount_only__robust,ocsvm__amount_cents__robust,0.9979,0.9958,0.2632,0.25
knn__amount_cents__robust,knn__amount_only__log,0.9946,0.9892,0.2621,0.2658
iforest__amount_only__robust,mcd__full__robust,0.9967,0.9933,0.2518,0.2821
iforest__amount_cents__robust,mcd__full__robust,0.9846,0.9692,0.2446,0.2346
iforest__full__log,knn__full_categorical__robust,0.9613,0.9225,0.2378,0.2346
iforest__full__robust,knn__full_categorical__robust,0.9633,0.9267,0.2368,0.2346
knn__amount_cents__robust,ocsvm__amount_only__robust,1.0,1.0,0.2359,0.2346
iforest__full__log,knn__full__robust,0.9883,0.9767,0.2355,0.2346
iforest__full__robust,knn__full__robust,0.9888,0.9775,0.2354,0.2346
iforest__full__robust,mcd__full__robust,0.9496,0.8992,0.2093,0.1905
iforest__full__log,mcd__full__robust,0.95,0.9,0.208,0.1765
ae__full_categorical__robust,lof__full_categorical__robust,0.9767,0.9533,0.2071,0.2048
iforest__amount_only__robust,knn__amount_cents__robust,0.9988,0.9975,0.2044,0.1905
iforest__full__robust,lof__full_categorical__robust,0.9838,0.9675,0.2037,0.2048
iforest__full__log,lof__full_categorical__robust,0.9833,0.9667,0.2027,0.2048
mcd__full__robust,ocsvm__amount_only__robust,0.9992,0.9983,0.1995,0.25
ae__full_categorical__robust,lof__full__robust,0.9237,0.8475,0.1968,0.1905
ae__full_categorical__robust,knn__full__robust,0.9992,0.9983,0.1948,0.1905
iforest__amount_cents__robust,knn__amount_only__log,0.9958,0.9917,0.1804,0.1628
iforest__amount_only__raw,knn__amount_only__log,0.9988,0.9975,0.1783,0.0989
ae__full_categorical__robust,ocsvm__full__robust,0.99,0.98,0.1764,0.1765
ae__full_categorical__robust,knn__full_categorical__robust,0.9783,0.9567,0.1726,0.1628
ae__full__robust,iforest__amount_cents__robust,0.9642,0.9283,0.1713,0.0989
knn__amount_only__log,mcd__amount_cents__robust,0.9979,0.9958,0.164,0.0753
lof__full_categorical__robust,ocsvm__amount_cents__robust,0.9983,0.9967,0.1619,0.1494
lof__full__robust,ocsvm__amount_cents__robust,0.9992,0.9983,0.1541,0.1494
iforest__full__raw,knn__amount_only__log,0.9996,0.9992,0.1495,0.1111
iforest__amount_only__raw,iforest__full__log,0.9979,0.9958,0.149,0.0989
ae__full_categorical__robust,ocsvm__amount_cents__robust,0.99,0.98,0.1488,0.1364
iforest__full__log,mcd__amount_cents__robust,0.9858,0.9717,0.1482,0.0989
iforest__amount_only__raw,iforest__full__robust,0.9983,0.9967,0.1482,0.1111
knn__full_categorical__robust,ocsvm__amount_cents__robust,0.9996,0.9992,0.1479,0.1236
iforest__full__robust,mcd__amount_cents__robust,0.9862,0.9725,0.1479,0.1111
ocsvm__amount_cents__robust,ocsvm__full__robust,1.0,1.0,0.1473,0.1364
iforest__amount_cents__robust,iforest__full__log,0.9825,0.965,0.1457,0.1111
iforest__amount_cents__robust,iforest__full__robust,0.9796,0.9592,0.1451,0.1111
knn__amount_cents__robust,lof__full_categorical__robust,1.0,1.0,0.1407,0.1236
iforest__full__raw,ocsvm__full__robust,1.0,1.0,0.1394,0.1236
lof__amount_cents__robust,ocsvm__amount_cents__robust,0.9683,0.9367,0.1384,0.0638
knn__amount_cents__robust,lof__full__robust,0.9992,0.9983,0.1376,0.1236
iforest__amount_cents__robust,knn__amount_cents__robust,0.9883,0.9767,0.1348,0.0989
ae__full__robust,ocsvm__amount_cents__robust,0.9954,0.9908,0.1338,0.0989
iforest__full__robust,lof__full__robust,0.9921,0.9842,0.1296,0.1364
iforest__full__log,lof__full__robust,0.995,0.99,0.1291,0.1364
iforest__amount_cents__robust,knn__full_categorical__robust,0.9938,0.9875,0.1285,0.1111
ae__full_categorical__robust,iforest__amount_cents__robust,0.965,0.93,0.1253,0.0989
ocsvm__amount_only__robust,ocsvm__full__robust,1.0,1.0,0.1242,0.1236
knn__amount_cents__robust,knn__full_categorical__robust,0.9996,0.9992,0.1238,0.0989
iforest__amount_only__robust,ocsvm__full__robust,1.0,1.0,0.1237,0.1111
ae__full__robust,knn__full_categorical__robust,0.9608,0.9217,0.1237,0.0989
knn__full__robust,ocsvm__amount_cents__robust,1.0,1.0,0.1229,0.1111
iforest__amount_only__robust,iforest__full__log,1.0,1.0,0.1223,0.0753
iforest__amount_only__robust,iforest__full__robust,1.0,1.0,0.1216,0.0753
ae__full_categorical__robust,knn__amount_cents__robust,0.995,0.99,0.1213,0.1111
knn__amount_cents__robust,lof__amount_cents__robust,0.9721,0.9442,0.1178,0.0417
iforest__amount_cents__robust,lof__full_categorical__robust,0.9962,0.9925,0.1165,0.1111
ae__full__robust,ocsvm__full__robust,0.9883,0.9767,0.1136,0.0989
ae__full__robust,lof__full_categorical__robust,0.9796,0.9592,0.1126,0.0989
mcd__full__robust,ocsvm__full__robust,1.0,1.0,0.1125,0.1236
knn__amount_cents__robust,ocsvm__full__robust,1.0,1.0,0.112,0.0989
ae__full__robust,knn__full__robust,0.9971,0.9942,0.1119,0.087
iforest__amount_cents__robust,knn__full__robust,0.9988,0.9975,0.1101,0.0989
knn__amount_only__log,ocsvm__full__robust,1.0,1.0,0.1097,0.0989
iforest__amount_cents__robust,ocsvm__full__robust,0.9967,0.9933,0.1065,0.0989
iforest__amount_cents__robust,lof__full__robust,0.9967,0.9933,0.1052,0.0989
knn__amount_cents__robust,knn__full__robust,0.9996,0.9992,0.104,0.087
knn__amount_only__log,mcd__full__robust,0.9967,0.9933,0.1025,0.0309
iforest__full__raw,knn__full_categorical__robust,0.9975,0.995,0.0997,0.0753
iforest__amount_only__raw,ocsvm__amount_cents__robust,1.0,1.0,0.0988,0.0638
iforest__full__log,ocsvm__amount_only__robust,1.0,1.0,0.0983,0.0753
iforest__full__robust,ocsvm__amount_only__robust,1.0,1.0,0.0981,0.0753
ae__full_categorical__robust,ocsvm__amount_only__robust,1.0,1.0,0.0935,0.0638
ae__full_categorical__robust,iforest__full__robust,0.9821,0.9642,0.0934,0.0753
ae__full_categorical__robust,iforest__amount_only__robust,0.9979,0.9958,0.0924,0.0638
ae__full_categorical__robust,iforest__full__log,0.9825,0.965,0.0924,0.0753
ae__full_categorical__robust,knn__amount_only__log,0.9992,0.9983,0.0919,0.0638
knn__amount_only__log,knn__full_categorical__robust,1.0,1.0,0.0908,0.0753
ae__full__robust,ae__full_categorical__robust,0.8912,0.7825,0.0902,0.0638
iforest__full__raw,iforest__full_categorical__robust,0.9829,0.9658,0.0892,0.0526
ae__full__robust,lof__full__robust,0.9767,0.9533,0.0888,0.0753
iforest__amount_only__robust,knn__full_categorical__robust,1.0,1.0,0.0881,0.0638
knn__full_categorical__robust,mcd__full__robust,0.9983,0.9967,0.088,0.0753
iforest__full__robust,iforest__full_categorical__robust,0.94,0.88,0.0878,0.0526
iforest__full__log,iforest__full_categorical__robust,0.9429,0.8858,0.0872,0.0526
mcd__amount_cents__robust,ocsvm__amount_cents__robust,0.9988,0.9975,0.0857,0.0526
knn__full_categorical__robust,ocsvm__amount_only__robust,1.0,1.0,0.0845,0.0638
iforest__full__raw,ocsvm__amount_cents__robust,1.0,1.0,0.084,0.0638
iforest__amount_only__raw,ocsvm__full__robust,1.0,1.0,0.0818,0.0638
iforest__full__log,knn__amount_only__log,0.9996,0.9992,0.0817,0.0582
iforest__full__robust,knn__amount_only__log,0.9992,0.9983,0.0816,0.0638
iforest__full__raw,knn__full__robust,0.9992,0.9983,0.0792,0.0638
knn__amount_only__log,lof__full_categorical__robust,1.0,1.0,0.0775,0.0638
ae__full__robust,iforest__full__log,0.965,0.93,0.0773,0.0638
ae__full__robust,iforest__full__robust,0.9642,0.9283,0.0764,0.0638
ae__full__robust,knn__amount_cents__robust,0.9988,0.9975,0.0747,0.0417
lof__full_categorical__robust,ocsvm__amount_only__robust,1.0,1.0,0.0745,0.0638
iforest__full_categorical__robust,mcd__amount_cents__robust,0.9962,0.9925,0.0735,0.0417
