section,source,classes,error_rate,H_bits,I_logloss,I_fano,weaker,governs
O,oof_A_family_autopsy_mix_logistic,6,0.5121,2.4407,0.529,0.252,0.252,fano
O,oof_A_family_autopsy_mix_random_forest,6,0.4021,2.4407,0.849,0.535,0.535,fano
O,oof_A_family_overlap_profile_logistic,6,0.1869,2.4407,1.633,1.312,1.312,fano
O,oof_A_family_overlap_profile_random_forest,6,0.1078,2.4407,1.799,1.697,1.697,fano
O,oof_A_family_structural_logistic,6,0.5141,2.4407,0.552,0.248,0.248,fano
O,oof_A_family_structural_random_forest,6,0.3859,2.4407,0.945,0.583,0.583,fano
O,oof_A_spec_autopsy_mix_logistic,27,0.6322,4.7548,1.755,0.834,0.834,fano
O,oof_A_spec_autopsy_mix_random_forest,27,0.5509,4.7548,2.11,1.173,1.173,fano
O,oof_A_spec_overlap_profile_logistic,27,0.3791,4.7548,3.009,2.016,2.016,fano
O,oof_A_spec_overlap_profile_random_forest,27,0.3105,4.7548,3.073,2.402,2.402,fano
O,oof_A_spec_structural_logistic,27,0.6752,4.7548,1.599,0.672,0.672,fano
O,oof_A_spec_structural_random_forest,27,0.5663,4.7548,2.16,1.106,1.106,fano
