true,ae__full__robust,ae__full_categorical__robust,benford__amount_only__raw,dup_pair__full_categorical__raw,iforest__amount_cents__robust,iforest__amount_only__raw,iforest__amount_only__robust,iforest__full__log,iforest__full__raw,iforest__full__robust,iforest__full_categorical__robust,knn__amount_cents__robust,knn__amount_only__log,knn__full__robust,knn__full_categorical__robust,lof__amount_cents__robust,lof__amount_only__log,lof__full__robust,lof__full_categorical__robust,mcd__amount_cents__robust,mcd__full__robust,ocsvm__amount_cents__robust,ocsvm__amount_only__robust,ocsvm__full__robust,repeat__amount_only__raw,round__amount_only__raw
ae__full__robust,793,92,8,1,36,1,1,16,13,10,12,1,4,0,23,1,12,23,3,4,12,6,0,12,110,0
ae__full_categorical__robust,101,852,1,1,41,0,0,5,0,2,5,0,0,1,9,23,2,88,11,7,7,15,0,8,6,0
benford__amount_only__raw,0,0,1175,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dup_pair__full_categorical__raw,0,0,1,1188,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0
iforest__amount_cents__robust,15,21,1,0,958,0,2,11,5,5,11,4,2,0,5,11,17,1,2,10,7,62,1,7,0,0
iforest__amount_only__raw,0,0,0,0,0,1176,0,0,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
iforest__amount_only__robust,0,0,0,0,0,11,491,0,1,0,0,0,7,0,0,0,0,0,0,8,1,0,681,0,0,0
iforest__full__log,31,1,0,0,11,0,0,480,35,422,75,0,1,11,25,0,1,0,4,0,14,0,0,61,1,27
iforest__full__raw,1,0,1,0,7,2,0,13,1066,21,15,0,0,0,4,0,1,0,0,2,28,0,0,0,0,37
iforest__full__robust,42,4,0,1,15,0,0,462,38,408,81,0,2,8,30,0,0,2,6,0,12,0,0,58,2,26
iforest__full_categorical__robust,4,1,1,3,6,0,0,19,1,18,1116,0,0,0,0,0,7,0,0,0,2,0,0,4,1,15
knn__amount_cents__robust,0,2,0,0,4,0,0,0,0,0,0,1112,3,0,0,5,0,0,0,0,0,73,0,0,0,0
knn__amount_only__log,0,0,0,0,0,0,34,0,0,0,0,9,1105,0,0,0,6,0,0,0,0,1,33,0,0,0
knn__full__robust,0,0,0,0,0,0,0,5,0,0,0,0,0,1182,6,0,0,0,0,0,0,0,0,7,0,0
knn__full_categorical__robust,28,5,0,0,4,0,0,19,1,8,0,0,0,66,724,0,0,11,193,0,1,0,0,131,0,0
lof__amount_cents__robust,0,46,1,2,2,0,0,0,0,0,0,34,1,0,0,1029,2,7,0,0,5,49,0,0,0,0
lof__amount_only__log,6,0,1,0,0,0,0,0,0,0,7,4,19,0,0,34,1115,0,0,0,0,4,0,1,5,1
lof__full__robust,4,58,0,0,0,0,0,2,0,0,0,0,0,7,37,4,0,851,228,0,0,1,0,8,0,0
lof__full_categorical__robust,5,8,0,0,0,0,0,4,0,0,0,0,0,24,141,0,0,149,833,0,0,0,0,34,0,0
mcd__amount_cents__robust,0,0,0,0,28,588,8,0,61,0,0,0,0,0,0,51,5,0,0,309,113,0,0,0,2,35
mcd__full__robust,32,18,0,6,11,0,0,25,408,11,21,1,3,0,1,70,1,0,0,10,391,0,1,0,163,26
ocsvm__amount_cents__robust,0,8,0,0,14,0,0,0,0,0,0,75,5,0,0,6,1,0,0,0,0,1077,0,0,0,0
ocsvm__amount_only__robust,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,0,0
ocsvm__full__robust,0,5,0,0,0,0,0,7,0,2,2,0,0,9,44,0,0,1,18,0,0,0,0,1103,0,0
repeat__amount_only__raw,38,0,0,36,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,0,1119,0
round__amount_only__raw,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1106
